Country,Clicks,Impressions,CTR,Position
Nigeria,48822,2752918,1.77%,12.88
United Kingdom,2033,193367,1.05%,24.25
United States,1882,1015216,0.19%,14.45
Indonesia,749,57018,1.31%,8.98
Canada,615,62926,0.98%,14.44
India,441,82984,0.53%,16.34
Japan,388,20988,1.85%,26.09
Germany,275,27691,0.99%,17.82
Philippines,249,32505,0.77%,16.01
Ghana,202,17265,1.17%,13.48
France,161,22985,0.7%,12.46
South Africa,146,32565,0.45%,24.93
Australia,143,25993,0.55%,30.98
Ireland,142,10520,1.35%,15.95
Netherlands,123,12281,1%,17.91
Malaysia,121,13445,0.9%,18.07
Kenya,102,16924,0.6%,14.23
United Arab Emirates,81,12721,0.64%,31.63
Uganda,80,9245,0.87%,8.55
Spain,74,18066,0.41%,14.73
Tanzania,66,5181,1.27%,8.44
Italy,64,16707,0.38%,16.93
Cambodia,52,1370,3.8%,12.2
Singapore,43,10206,0.42%,24.98
Zambia,42,5901,0.71%,10.25
Hong Kong,40,4607,0.87%,19.52
Pakistan,39,13408,0.29%,13.15
Switzerland,37,4638,0.8%,19.16
Sierra Leone,37,2067,1.79%,8.01
Poland,36,8456,0.43%,14.59
Belgium,36,4681,0.77%,12.36
Ethiopia,36,2821,1.28%,10.7
Zimbabwe,35,5479,0.64%,19.49
Sweden,34,4638,0.73%,20.94
Cameroon,34,3750,0.91%,10.56
Austria,34,2943,1.16%,11.77
Russia,33,10916,0.3%,22.49
Turkey,31,14163,0.22%,12.14
Brazil,29,49266,0.06%,19.6
Mexico,29,14066,0.21%,13.86
Bangladesh,29,6867,0.42%,15.67
Finland,29,2687,1.08%,14.41
China,27,6142,0.44%,8.14
New Zealand,27,4745,0.57%,30.01
Egypt,26,6364,0.41%,16.94
Thailand,26,4886,0.53%,21.19
Saudi Arabia,25,6452,0.39%,16.01
Qatar,25,2566,0.97%,16.13
Sri Lanka,20,1842,1.09%,7.99
Norway,19,2474,0.77%,11.77
Cyprus,18,1744,1.03%,30
Côte d’Ivoire,18,1321,1.36%,10.54
Rwanda,17,1106,1.54%,10.37
Libya,17,985,1.73%,8.64
Trinidad & Tobago,16,4005,0.4%,15.06
Gambia,16,764,2.09%,5.94
Liberia,15,1479,1.01%,4.95
